,序号,数据id,关联标题,客户名称,生产单号,订单编号,销售明细,关联标题.1,物料编号,名称,规格,计量单位,计划数量,预计开始时间,预计结束时间,工序,关联标题.2,首道工序机器编码,备注,实际开始时间,实际结束时间,生产状态,关联标题.3,班组名称,物料标题(隐藏),物料名称（隐藏）,当前日期（隐藏）,创建时间,创建者,创建人部门,审批单标题
10,11,8tR3zAiOTgSkW9WaoliECw05971665732542,,,202210140929,,,169电池盒挡板_,LL.04.05296,169电池盒挡板,,个,5000,2022-10-14,2022-10-21,J-出图,,,J,2022-10-14,,进行中,,,,169电池盒挡板_,2022-10-14,2022-10-14 15:29:02,马清伟,机加车间,169电池盒挡板_
11,12,XHkr3MYLSM-T1OxAcggYtA05971665727436,,,202210140928,,,7220塞纳电池盒底托_,电瓶车-两轮.半成品.04962,7220塞纳电池盒底托,,个,100,2022-10-14,2022-10-15,"D-连续模下料,B-压筋,B-单冲模-冲孔,B-焊帽子,B-三次成型,B-焊耳朵,B-点焊",,,B,2022-10-14,,进行中,,,,7220塞纳电池盒底托_,2022-10-14,2022-10-14 14:03:56,杨萍,后勤部,7220塞纳电池盒底托_
12,13,7KUSk3KnSZqr7de3vsDGxQ05971665727366,,,202210140927,,,169电池盒挡板_,LL.04.05296,169电池盒挡板,,个,700,2022-10-14,2022-10-16,"B-唐宇下料,B-切角两次,B-三次压型",,,B,2022-10-14,,进行中,,,,169电池盒挡板_,2022-10-14,2022-10-14 14:02:46,杨萍,后勤部,169电池盒挡板_
13,14,EmJv73tQTeaO0FSnH0zV6Q05971665727273,,,202210140926,,,169电池盒底托_,LL.04.05295,169电池盒底托,,个,350,2022-10-14,2022-10-17,"B-唐宇下料,B-压筋,B-二次成型,B-点焊",,,B,2022-10-14,,进行中,,,,169电池盒底托_,2022-10-14,2022-10-14 14:01:13,杨萍,后勤部,169电池盒底托_
14,15,Pi5yU-SbQPOglpXs1oBcHw05971665726877,,,202210140925,,,9620K2电池盒底托_,电瓶车-两轮.半成品.04976,7220K2电池盒底托/7220莱诺电池盒底托,,个,410,2022-10-14,2022-10-17,"D-连续模下料,B-压筋,B-单冲模-冲孔,B-焊帽子,B-焊耳朵,B-点焊",,,B,2022-10-14,,进行中,,,,9620K2电池盒底托_,2022-10-14,2022-10-14 13:54:37,杨萍,后勤部,9620K2电池盒底托_
15,16,RuB23BFnTMCPHvS7E1m-pA05971665726784,,,202210140924,,,底板折边加工_,电瓶车-两轮.成品.03439,底板折边加工,,个,500,2022-10-14,2022-10-16,B-四次折弯,,,B,2022-10-14,,进行中,,,,底板折边加工_,2022-10-14,2022-10-14 13:53:04,杨萍,后勤部,底板折边加工_
16,17,pJgtp7NbSduL6AJFiBbRzQ05971665717448,,,202210140923,,,蝶形限位卡2#（强强铝业）_,市场.成品.02917,蝶形限位卡2#（强强铝业）,,个,40000,2022-10-14,2022-10-16,D-连续模出成品,,,D,2022-10-14,,进行中,,,,蝶形限位卡2#（强强铝业）_,2022-10-14,2022-10-14 11:17:28,张倩,后勤部,蝶形限位卡2#（强强铝业）_
17,18,zt_q0-xCTEiSxO3fzT5LOg05971665711191,,,202210140922,,,铰链装配（柜顶盖板）小_,WK.03.05292,铰链装配（柜顶盖板）小,,个,30000,2022-10-14,2022-10-17,"D-连续模下料,E-镀锌",,,D+E,2022-10-14,,进行中,,,,铰链装配（柜顶盖板）小_,2022-10-14,2022-10-14 09:33:11,张倩,后勤部,铰链装配（柜顶盖板）小_
18,19,r2UfU3XxQciVHkm6lHeggg05971665707557,,,202210140921,,,支架（传感器梁）_50*39*30,万控.成品.00684,支架（传感器梁）,50*39*30,个,15000,2022-10-15,2022-10-20,D-连续模出成品,,,D,2022-10-14,,进行中,,,,支架（传感器梁）_50*39*30,2022-10-14,2022-10-14 08:32:37,张倩,后勤部,支架（传感器梁）_50*39*30
19,20,HcFFsnHmRbaP8dnsta2-3w05971665650712,成都巨伦,成都巨伦,202210130915,,,Q312-喇叭支架_,电瓶车-两轮.成品.04592,Q312-喇叭支架,,个,1000,2022-10-13,2022-10-16,D-连续模出成品,,,D,2022-10-13,,进行中,D组,D组,,Q312-喇叭支架_,2022-10-13,2022-10-13 16:45:12,杨萍,后勤部,Q312-喇叭支架_
20,21,mn7wZ4u9QPaiPMQwCsHAfg05971665650712,成都巨伦,成都巨伦,202210130920,,,玉骑铃金鹰座桶安装支架右_,电瓶车-两轮.成品.04139,玉骑铃金鹰座桶安装支架右,,个,600,2022-10-13,2022-10-16,"C-单冲模-落料,C-一次成型,C-二次成型",,,D+C,2022-10-13,,进行中,D组,D组,,玉骑铃金鹰座桶安装支架右_,2022-10-13,2022-10-13 16:45:12,杨萍,后勤部,玉骑铃金鹰座桶安装支架右_
21,22,FXNEnydtQ3eJeIa9Im2tCw05971665650712,成都巨伦,成都巨伦,202210130919,,,玉骑铃金鹰座桶安装支架左_,电瓶车-两轮.成品.04140,玉骑铃金鹰座桶安装支架左,,个,600,2022-10-13,2022-10-16,"C-单冲模-落料,C-一次成型,C-二次成型",,,D+C,2022-10-13,,进行中,D组,D组,,玉骑铃金鹰座桶安装支架左_,2022-10-13,2022-10-13 16:45:12,杨萍,后勤部,玉骑铃金鹰座桶安装支架左_
22,23,cv0edPztSVOZkdrwHNJ0pQ05971665650712,成都巨伦,成都巨伦,202210130914,,,中沙后衣架后支架_,电瓶车-两轮.成品.04180,中沙后衣架后支架,,个,600,2022-10-13,2022-10-16,"C-单冲模-落料,C-一次成型",,,C,2022-10-13,,进行中,C组,C组,,中沙后衣架后支架_,2022-10-13,2022-10-13 16:45:12,杨萍,后勤部,中沙后衣架后支架_
23,24,oOyW8HVwSoKii0spQQR4ew05971665650712,成都巨伦,成都巨伦,202210130918,,,玉骑铃金鹰座桶支架_,电瓶车-两轮.成品.04141,玉骑铃金鹰座桶支架,,个,600,2022-10-13,2022-10-16,"D-连续模下料,C-一次成型,C-攻丝",,,D+C,2022-10-13,,进行中,D组,D组,,玉骑铃金鹰座桶支架_,2022-10-13,2022-10-13 16:45:12,杨萍,后勤部,玉骑铃金鹰座桶支架_
24,25,6H64WVzUSOqTKSxY68nCEQ05971665650712,成都巨伦,成都巨伦,202210130917,,,玉骑铃金鹰挡水板_,电瓶车-两轮.成品.04135,玉骑铃金鹰挡水板,,个,600,2022-10-13,2022-10-16,B-唐宇下料,,,B,2022-10-13,,进行中,B组,B组,,玉骑铃金鹰挡水板_,2022-10-13,2022-10-13 16:45:12,杨萍,后勤部,玉骑铃金鹰挡水板_
25,26,TLuyBM1nSZm1GHjmeddU-A05971665650712,成都巨伦,成都巨伦,202210130916,,,玉骑铃金鹰踏板前_,电瓶车-两轮.成品.04138,玉骑铃金鹰踏板前,,个,600,2022-10-13,2022-10-16,"D-连续模下料,C-一次成型",,,D+C,2022-10-13,,进行中,D组,D组,,玉骑铃金鹰踏板前_,2022-10-13,2022-10-13 16:45:12,杨萍,后勤部,玉骑铃金鹰踏板前_
26,27,tioTFd6BS3qIOks00B8MSg05971665647122,凯迪菲,凯迪菲,202210130913,,,凯迪菲标兵支耳_,电瓶车-两轮.成品.03632,凯迪菲标兵支耳,,个,120,2022-10-13,2022-10-16,D-连续模出成品,,,D,2022-10-13,,进行中,D组,D组,,凯迪菲标兵支耳_,2022-10-13,2022-10-13 15:45:22,杨萍,后勤部,凯迪菲标兵支耳_
27,28,A6xpJRnbRaSR220ARFSxpw05971665647122,成都巨伦,成都巨伦,202210130912,,,通用双撑脚底片（巨轮）_,电瓶车-两轮.成品.03966,通用双撑脚底片（巨轮）,,个,5000,2022-10-13,2022-10-16,D-连续模出成品,,,D,2022-10-13,,进行中,D组,D组,,通用双撑脚底片（巨轮）_,2022-10-13,2022-10-13 15:45:22,杨萍,后勤部,通用双撑脚底片（巨轮）_
28,29,SM7j1052TEKqSouZ3vaf3g05971665647030,创兴,创兴,202210130905,,,申源六代脚踏前横梁_,电瓶车-两轮.成品.03878,申源六代脚踏前横梁,,个,1000,2022-10-13,2022-10-16,"D-连续模下料,C-一次成型",,,D+C,2022-10-13,,进行中,D组,D组,,申源六代脚踏前横梁_,2022-10-13,2022-10-13 15:43:50,杨萍,后勤部,申源六代脚踏前横梁_
29,30,q0gW8GxzTgOMwHYho0MJIA05971665647030,创兴,创兴,202210130907,,,申源六代边管加强包皮_,电瓶车-两轮.成品.03876,申源六代边管加强包皮,,个,2000,2022-10-13,2022-10-16,"D-连续模下料,C-一次成型",,,D+C,2022-10-13,,进行中,D组,D组,,申源六代边管加强包皮_,2022-10-13,2022-10-13 15:43:50,杨萍,后勤部,申源六代边管加强包皮_
30,31,3o8sMlQ4RlCNXf2ZjkRS5g05971665647030,凯迪菲,凯迪菲,202210130909,,,63钻喜支耳_,电瓶车-两轮.成品.03246,63钻喜支耳,,个,600,2022-10-13,2022-10-16,D-连续模出成品,,,D,2022-10-13,,进行中,D组,D组,,63钻喜支耳_,2022-10-13,2022-10-13 15:43:50,杨萍,后勤部,63钻喜支耳_
31,32,4Ior1MkITJCGb9S3sO8PrQ05971665647030,创兴,创兴,202210130908,,,申源六代控制器支架_,电瓶车-两轮.成品.03879,申源六代控制器支架,,个,1000,2022-10-13,2022-10-16,"D-连续模下料,C-攻丝",,,D+C,2022-10-13,,进行中,D组,D组,,申源六代控制器支架_,2022-10-13,2022-10-13 15:43:50,杨萍,后勤部,申源六代控制器支架_
32,33,voKVM7FoQXGr_TeG3njRHw05971665647030,凯迪菲,凯迪菲,202210130911,,,46钻喜支耳_,电瓶车-两轮.成品.03223,46钻喜支耳,,个,600,2022-10-13,2022-10-16,D-连续模出成品,,,D,2022-10-13,,进行中,D组,D组,,46钻喜支耳_,2022-10-13,2022-10-13 15:43:50,杨萍,后勤部,46钻喜支耳_
33,34,G38k4skGTAezFLkqDDR0mA05971665647030,凯迪菲,凯迪菲,202210130910,,,43U型支耳（鹰王支耳）_,电瓶车-两轮.成品.03217,43U型支耳（鹰王支耳）,,个,600,2022-10-13,2022-10-16,D-连续模出成品,,,D,2022-10-13,,进行中,D组,D组,,43U型支耳（鹰王支耳）_,2022-10-13,2022-10-13 15:43:50,杨萍,后勤部,43U型支耳（鹰王支耳）_
34,35,uevip1qmQVeftI1GKlv73A05971665647030,创兴,创兴,202210130906,,,申源六代脚蹬支架_,电瓶车-两轮.成品.03877,申源六代脚蹬支架,,个,2000,2022-10-13,2022-10-16,"D-连续模下料,C-一次成型",,,D+C,2022-10-13,,进行中,D组,D组,,申源六代脚蹬支架_,2022-10-13,2022-10-13 15:43:50,杨萍,后勤部,申源六代脚蹬支架_
35,36,dM0j8EHSS6aRjZSJlD74VQ05971665646529,,,202210130904,,,F606-96V/72V电池压条压块_,LL.03.05221,F606-96V/72V电池压条压块,,个,2950,2022-10-13,2022-10-15,D-连续模出成品,,,D,2022-10-13,,进行中,,,,F606-96V/72V电池压条压块_,2022-10-13,2022-10-13 15:35:29,杨萍,后勤部,F606-96V/72V电池压条压块_
36,37,YvxbkQ8XQqulSgGH6DVKeg05971665630399,,,202210130903,,,后门铰链打平校圆工装_,MJ.02.05291,后门铰链打平校圆工装,,个,1,2022-10-13,2022-10-13,"J-出图,J-设计,J-下料,J-铣床,J-加工中心,J-淬火,J-线切割,J-装配",,,机加,2022-10-13,,进行中,,,,后门铰链打平校圆工装_,2022-10-13,2022-10-13 11:06:39,周琳,后勤部,后门铰链打平校圆工装_
37,38,pNHZFvXWQQaOrRWjNsLQMg05971665630298,,,202210130902,,,支架活门补偿小8WM.003.4610_,MJ.02.05285,支架活门补偿小8WM.003.4610,,个,1,2022-10-13,2022-10-31,"J-出图,J-设计,J-下料,J-铣床,J-加工中心,J-淬火,J-线切割,J-装配",,,机加,2022-10-13,,进行中,,,,支架活门补偿小8WM.003.4610_,2022-10-13,2022-10-13 11:04:58,周琳,后勤部,支架活门补偿小8WM.003.4610_
38,39,fLEzyJNfRgax1amxujzhXA05971665630265,,,202210130901,,,驱动板活门闭锁小8WM.003.4603_,MJ.02.05286,驱动板活门闭锁小8WM.003.4603,,个,1,2022-10-13,2022-10-31,"J-出图,J-设计,J-下料,J-铣床,J-加工中心,J-淬火,J-线切割,J-装配",,,机加,2022-10-13,,进行中,,,,驱动板活门闭锁小8WM.003.4603_,2022-10-13,2022-10-13 11:04:25,周琳,后勤部,驱动板活门闭锁小8WM.003.4603_
39,40,xVTlRzopSXqbksdVCyzvVg05971665630234,,,202210130900,,,驱动板活门闭锁大8WM.003.4604_,MJ.02.05287,驱动板活门闭锁大8WM.003.4604,,个,1,2022-10-13,2022-10-31,"J-出图,J-设计,J-下料,J-铣床,J-加工中心,J-淬火,J-线切割,J-装配",,,机加,2022-10-13,,进行中,,,,驱动板活门闭锁大8WM.003.4604_,2022-10-13,2022-10-13 11:03:54,周琳,后勤部,驱动板活门闭锁大8WM.003.4604_
40,41,cp04h1tEQSqW0ZGnEDXuEw05971665630203,,,202210130899,,,固定板活门补偿大8WM.0063.4650_,MJ.02.05288,固定板活门补偿大8WM.0063.4650,,个,1,2022-10-13,2022-10-31,"J-出图,J-设计,J-下料,J-铣床,J-加工中心,J-淬火,J-线切割,J-装配",,,机加,2022-10-13,,进行中,,,,固定板活门补偿大8WM.0063.4650_,2022-10-13,2022-10-13 11:03:23,周琳,后勤部,固定板活门补偿大8WM.0063.4650_
41,42,gp4RW8vZTJCSKke3ob3Z9g05971665630173,,,202210130898,,,驱动板活门小8WM.003.4601_,MJ.02.05289,驱动板活门小8WM.003.4601,,个,1,2022-10-13,2022-10-31,"J-出图,J-设计,J-下料,J-铣床,J-加工中心,J-淬火,J-线切割,J-装配",,,机加,2022-10-13,,进行中,,,,驱动板活门小8WM.003.4601_,2022-10-13,2022-10-13 11:02:53,周琳,后勤部,驱动板活门小8WM.003.4601_
42,43,7vNyWN2UR6qBpkSaCr1R8w05971665630136,,,202210130897,,,C柜活门机构固定板-大8WM.003.4600_,MJ.02.05290,C柜活门机构固定板-大8WM.003.4600,,个,1,2022-10-13,2022-10-31,"J-出图,J-设计,J-下料,J-铣床,J-加工中心,J-淬火,J-线切割,J-装配",,,机加,2022-10-13,,进行中,,,,C柜活门机构固定板-大8WM.003.4600_,2022-10-13,2022-10-13 11:02:16,周琳,后勤部,C柜活门机构固定板-大8WM.003.4600_
43,44,3tCEO2dgSmOdSZ7blC56lw05971665629369,,,202210130896,,,世纪雄风脚踏板右_,电瓶车-两轮.成品.03904,世纪雄风脚踏板右,,个,1400,2022-10-13,2022-10-19,"B-激光切割,B-一次成型",,,B,2022-10-13,,进行中,,,,世纪雄风脚踏板右_,2022-10-13,2022-10-13 10:49:29,张倩,后勤部,世纪雄风脚踏板右_
44,45,fGFY-X0PQL-q5eZji-cTxw05971665629325,,,202210130895,,,世纪雄风脚踏板左_,电瓶车-两轮.成品.03905,世纪雄风脚踏板左,,个,1400,2022-10-13,2022-10-19,"B-激光切割,B-一次成型",,,B,2022-10-13,,进行中,,,,世纪雄风脚踏板左_,2022-10-13,2022-10-13 10:48:45,张倩,后勤部,世纪雄风脚踏板左_
45,46,WspUN3eBRkKGmU1YGLtWSg05971665629145,,,202210130894,,,7220申源六代电池盒前底托_,电瓶车-两轮.半成品.05102,7220申源六代电池盒前底托,,个,500,2022-10-13,2022-10-15,"B-唐宇下料,B-压筋两次,B-单冲模-冲孔,B-焊帽子,B-焊耳朵,B-点焊",,,B,2022-10-13,,进行中,,,,7220申源六代电池盒前底托_,2022-10-13,2022-10-13 10:45:45,杨萍,后勤部,7220申源六代电池盒前底托_
46,47,BgKov_inRESGlnC-AH0XAg05971665629103,,,202210130893,,,7230申源六代电池盒/天鹰六代电池盒后底托_,电瓶车-两轮.半成品.05100,7230申源六代电池盒/天鹰六代电池盒后底托,,个,500,2022-10-13,2022-10-15,"B-唐宇下料,B-一次成型",,,B,2022-10-13,,进行中,,,,7230申源六代电池盒/天鹰六代电池盒后底托_,2022-10-13,2022-10-13 10:45:03,杨萍,后勤部,7230申源六代电池盒/天鹰六代电池盒后底托_
47,48,wEneN5MGQDKULPFqrSprbg05971665628488,,,202210130892,,,焊接角铁2号_,市场.成品.03025,焊接角铁2号,,个,120000,2022-10-13,2022-10-18,D-连续模出成品,,,D,2022-10-13,,进行中,,,,焊接角铁2号_,2022-10-13,2022-10-13 10:34:48,张倩,后勤部,焊接角铁2号_
48,49,NQFhCgVJT1ey9su5iKo0eQ05971665627697,,,202210130891,,,富象五孔正16加强片（加泡）1.5_,防盗门.成品.01749,富象五孔正16加强片（加泡）1.5,,kg,800,2022-10-13,2022-10-16,"A-连续模下料,A-攻丝",,,A,2022-10-13,,进行中,,,,富象五孔正16加强片（加泡）1.5_,2022-10-13,2022-10-13 10:21:37,张倩,后勤部,富象五孔正16加强片（加泡）1.5_
49,50,-VRZFrUbS9yy-JLrKKxwAg05971665625142,,,202210130890,,,Q162-平叉泥板左后支架_,电瓶车-两轮.成品.04511,Q162-平叉泥板左后支架,,个,55,2022-10-13,2022-10-15,"B-激光切割,C-攻丝,C-一次成型",,,B+C,2022-10-13,,进行中,,,,Q162-平叉泥板左后支架_,2022-10-13,2022-10-13 09:39:02,杨萍,后勤部,Q162-平叉泥板左后支架_
50,51,kaxEItwdQfWfvymuJ3dT9g05971665625055,,,202210130889,,,Q162-平叉泥板右后支架_,电瓶车-两轮.成品.04509,Q162-平叉泥板右后支架,,个,55,2022-10-13,2022-10-15,"B-激光切割,C-攻丝,C-一次成型",,,B+C,2022-10-13,,进行中,,,,Q162-平叉泥板右后支架_,2022-10-13,2022-10-13 09:37:35,杨萍,后勤部,Q162-平叉泥板右后支架_
51,52,eLsNqNq3RiOptLzaNGZEJg05971665624286,,,202210130888,,,富象8公分铰链门框左右2.0_,防盗门.成品.01747,富象8公分铰链门框左右2.0,,个,6000,2022-10-13,2022-10-18,"A-连续模下料,A-喷塑,A-压轴",,,A,2022-10-13,,进行中,,,,富象8公分铰链门框左右2.0_,2022-10-13,2022-10-13 09:24:46,张倩,后勤部,富象8公分铰链门框左右2.0_
52,53,QUES7rzaRLa5Na2wYkHrKA05971665624107,,,202210130887,,,富象8公分铰链门扇左右2.0_,防盗门.成品.01745,富象8公分铰链门扇左右2.0,,个,6000,2022-10-13,2022-10-15,"A-连续模下料,A-喷塑,A-压帽",,,A,2022-10-13,,进行中,,,,富象8公分铰链门扇左右2.0_,2022-10-13,2022-10-13 09:21:47,张倩,后勤部,富象8公分铰链门扇左右2.0_
53,54,i1pMYs5eSAOibVJawWOGgw05971665622684,,,202210130886,,,政宇座桶540_,电瓶车-两轮.成品.04168,政宇座桶540,,个,200,2022-10-13,2022-10-16,"B-唐宇下料,B-切角两次,B-一次成型,B-一次冲孔,B-二次冲孔,B-两次成型",,,B,2022-10-13,,进行中,,,,政宇座桶540_,2022-10-13,2022-10-13 08:58:04,杨萍,后勤部,政宇座桶540_
54,55,FRi8hjAqTLmf3kL7Dt6nJQ05971665562981,,,202210120885,,,活门连杆装配底座（右-VS1）（5WK.233.3751）_,WK.04.05284,活门连杆装配底座（右-VS1）（5WK.233.3751）,,个,6000,2022-10-13,2022-10-18,"D-连续模下料,E-一次成型,E-a面焊接,E-b面焊接,E-镀锌,E-装配",,,D+E,2022-10-12,,进行中,,,,活门连杆装配底座（右-VS1）（5WK.233.3751）_,2022-10-12,2022-10-12 16:23:01,张倩,后勤部,活门连杆装配底座（右-VS1）（5WK.233.3751）_
55,56,SY2bkH6XT1-jrDBkpkTZkQ05971665562937,,,202210120884,,,活门连杆装配下连板（右-VS1）（5WK.233.3751）_,WK.04.05283,活门连杆装配下连板（右-VS1）（5WK.233.3751）,,个,6000,2022-10-13,2022-10-18,"D-连续模下料,E-一次成型,E-划孔,E-卯轴套,E-铰孔,E-a面焊接,E-b面焊接,E-镀锌",,,D+E,2022-10-12,,进行中,,,,活门连杆装配下连板（右-VS1）（5WK.233.3751）_,2022-10-12,2022-10-12 16:22:17,张倩,后勤部,活门连杆装配下连板（右-VS1）（5WK.233.3751）_
56,57,G9lzLVI_RLGbXeqb2kzESw05971665562875,,,202210120883,,,誉隆龟王后衣架后_,电瓶车-两轮.成品.04142,誉隆龟王后衣架后,,个,1200,2022-10-12,2022-10-15,"C-单冲模-落料,C-一次成型",,,C,2022-10-12,,进行中,,,,誉隆龟王后衣架后_,2022-10-12,2022-10-12 16:21:15,杨萍,后勤部,誉隆龟王后衣架后_
57,58,TlQzeBN5TO6ZExyVZAUCYQ05971665562872,,,202210120882,,,活门连杆装配上连板（右-VS1）（5WK.233.3751）_,WK.04.05282,活门连杆装配上连板（右-VS1）（5WK.233.3751）,,个,6000,2022-10-13,2022-10-18,"D-连续模下料,E-一次成型,E-划孔,E-卯轴套,E-a面焊接,E-b面焊接,E-镀锌",,,D+E,2022-10-12,,进行中,,,,活门连杆装配上连板（右-VS1）（5WK.233.3751）_,2022-10-12,2022-10-12 16:21:12,张倩,后勤部,活门连杆装配上连板（右-VS1）（5WK.233.3751）_
58,59,hzN_q6loRNGwCoBp1VCSBA05971665562177,,,202210120881,,,凌度座垫锁板_,电瓶车-两轮.成品.03685,凌度座垫锁板,,个,1400,2022-10-12,2022-10-13,"D-连续模下料,C-一次成型,C-二次成型",,,D+C,2022-10-12,,进行中,,,,凌度座垫锁板_,2022-10-12,2022-10-12 16:09:37,杨萍,后勤部,凌度座垫锁板_
59,60,Z0ONFXGDQ1S3iUTr1_qiLQ05971665562088,,,202210120880,,,莱诺坐桶支架_,电瓶车-两轮.成品.03661,莱诺坐桶支架,,个,600,2022-10-12,2022-10-14,"D-连续模下料,C-一次成型",,,D+C,2022-10-12,,进行中,,,,莱诺坐桶支架_,2022-10-12,2022-10-12 16:08:08,杨萍,后勤部,莱诺坐桶支架_
60,61,zBAbUL8rSGi2nQQ7DiBWfA05971665557559,,,202210120879,,,169电池盒_,电瓶车-两轮.成品.03177,169电池盒,,个,300,2022-10-12,2022-10-14,"B-唐宇下料,B-压筋,B-压型两次,B-点焊",,,B,2022-10-12,,进行中,,,,169电池盒_,2022-10-12,2022-10-12 14:52:39,杨萍,后勤部,169电池盒_
61,62,YfcH5FOVTRuPOTToxu_KAw05971665557416,,,202210120878,,,7230/9620莱诺电池盒底托_,电瓶车-两轮.成品.04974,7230/9620莱诺电池盒底托,,个,240,2022-10-12,2022-10-14,"D-连续模下料,B-压筋,B-单冲模-冲孔,B-焊帽子,B-焊耳朵,B-点焊",,,B,2022-10-12,,暂停生产,,,,7230/9620莱诺电池盒底托_,2022-10-12,2022-10-12 14:50:16,杨萍,后勤部,7230/9620莱诺电池盒底托_
